"BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c"
"0307","A","M","fluor",0.809731658,45.25483331,0.1055297,23.78552392,4.857213789,3.050122547
"0389","A","M","fluor",0.959772254,63.99999893,0.116460443,25.03244152,5.383213337,3.138714408
"0419","A","M","mimic_purple",0.425633133,63.99999893,0.131459973,7.659066748,7.625339168,12.499120419
"0420","A","M","mimic_orange_type2",1.591306425,90.50966632,0.121060819,23.33780643,20.13524721,18.95700453
"0481","A","M","mimic_orange_type1",0.772432896,31.99999957,0.106633034,16.90444574,11.117274348,7.953399708
"0483","A","M","fluor",0.767001775,45.25483331,0.116842475,22.69574679,3.861423555,2.546535164
"0484","A","F","fluor",1.120616064,90.50966632,0.127990328,31.21262183,5.339007023,3.1219963
"0208","A","F","mimic_orange_type1",1.957156371,90.50966632,0.13967501,30.67392099,24.69171688,19.88899638
"0415","A","F","mimic_orange_type1",1.324539876,90.50966632,0.129406609,22.92032083,17.06268263,13.8201471
"0377","A","F","fluor",1.3482037,90.50966632,0.126891671,35.82383952,6.85406782,4.690079622
"0072","A","M","xmas",0.536688499,15.99999984,0.092889785,13.86348632,4.626744834,3.195630461
"0185","A","M","xmas",0.565413195,90.50966632,0.117061456,12.307718272,6.479747238,5.288056748
"0467","A","F","green",0.548609718,90.50966632,0.128860455,9.147017519,8.932250907,3.705305633
"0386","A","M","brown_beige_border",0.451361346,31.99999957,0.098890901,7.511694155,5.339680935,4.235914723
"0413","A","M","brown_beige_border",0.273802262,31.99999957,0.093525758,6.244857658,4.428423246,2.737151955
"0466","A","M","green",0.324191455,31.99999957,0.105654533,7.844977936,7.3855096,3.510675282
"0518","A","M","xmas",0.246644567,90.50966632,0.096465438,8.910124908,3.809193994,2.976145636
"0519","A","M","xmas",0.255510025,90.50966632,0.101884428,9.197999995,3.725154363,2.928532915
"0576","A","M","xmas",0.230341258,45.25483331,0.090130974,7.976568106,3.332777683,2.407092808
"0621","A","M","xmas",0.356898927,45.25483331,0.098196792,9.042511203,4.159182165,2.933194453
"0073","A","M","pink_speckle",0.346556632,63.99999893,0.11150289,9.787413985,3.908980857,3.590855152
"0075","A","M","red_beige",0.535290326,22.62741673,0.102427946,9.504274072,5.550131193,4.028203164
"0077","A","M","red_beige",0.454544672,90.50966632,0.091796915,10.95947016,4.74361895,3.745897527
"0081","A","M","red_beige",0.53831691,31.99999957,0.100531498,12.430173676,7.076656047,5.478662529
"0084","A","M","red_beige",0.560913211,22.62741673,0.11213973,10.298505733,4.809183508,3.114296032
"0085","A","M","red_beige",0.634322061,63.99999893,0.107992436,13.29574464,6.875372676,4.87042845
"0586","A","F","red_beige",0.462991008,63.99999893,0.125103707,10.510978126,6.020490981,4.839340604
"0089","A","M","red_beige",0.291570443,63.99999893,0.09967812,8.317815462,3.991674929,3.053010855
"0079","A","F","red_beige",0.538520733,63.99999893,0.116689578,10.438845059,5.802167954,4.352474462
"0093","A","M","red_beige",0.560286531,15.99999984,0.092845594,12.52731738,6.845641001,5.547892847
"0108","A","M","beige_red",0.586161947,45.25483331,0.093842675,12.885756135,8.001883977,5.483164935
"0116","A","M","beige",0.79629751,90.50966632,0.108990664,13.82846951,10.942355417,6.992869595
"0118","A","M","gold_red",0.427210823,11.3137084,0.087104297,11.626958285,6.803258542,4.138272233
"0119","A","M","red_gold",0.469136518,15.99999984,0.087804771,12.461853184,5.888008041,3.843006599
"0181","A","M","white_hourglass",0.950241769,45.25483331,0.110491088,16.26657035,12.047417151,8.269699416
"0183","A","M","red_beige",0.498097049,11.3137084,0.091493615,13.47062461,6.904976894,5.483833137
