"BCPD","Image","Morph","Sex","Microhabitat_Association","Viewpoint","Microhabitat","Background","GabRat"
"0396","0396_1","W","F","Absent","0","Red_Algae","Hydroid_Bryozoa",0.115308817
"0396","0396_2","W","F","Absent","0","Red_Algae","Hydroid",0.242552584
"0396","0396_3","W","F","Present","0","Red_Algae","Red_Algae",0.1563446813
"0396","0396_4","W","F","Absent","0","Red_Algae","Hydroid",0.2847079842
"0403","0403_1","RB","F","Present","0","Hydroid","Hydroid_Bryozoa",0.1443825584
"0403","0403_2","RB","F","Present","0","Hydroid","Hydroid",0.2969669856
"0403","0403_3","RB","F","Absent","0","Hydroid","Red_Algae",0.1761794352
"0403","0403_4","RB","F","Present","0","Hydroid","Hydroid",0.3681795521
"0404","0404_1","RB","M","Present","0","Hydroid","Hydroid_Bryozoa",0.1346950154
"0404","0404_2","RB","M","Present","0","Hydroid","Hydroid",0.3135601731
"0404","0404_3","RB","M","Absent","0","Hydroid","Red_Algae",0.1220825978
"0404","0404_4","RB","M","Present","0","Hydroid","Hydroid",0.3318342535
"0406","0406_1","W","F","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.1457123164
"0406","0406_2","W","F","Present","0","Hydroid_Bryozoa","Hydroid",0.3075524594
"0406","0406_3","W","F","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1124618909
"0406","0406_4","W","F","Present","0","Hydroid_Bryozoa","Hydroid",0.3268393303
"0406","0406_1","W","F","Present","0","Hydroid","Hydroid_Bryozoa",0.1457123164
"0406","0406_2","W","F","Present","0","Hydroid","Hydroid",0.3075524594
"0406","0406_3","W","F","Absent","0","Hydroid","Red_Algae",0.1124618909
"0406","0406_4","W","F","Present","0","Hydroid","Hydroid",0.3268393303
"0415","0415_1","Bright","F","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.2374050408
"0415","0415_2","Bright","F","Present","0","Hydroid_Bryozoa","Hydroid",0.1705643326
"0415","0415_3","Bright","F","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1015929155
"0415","0415_4","Bright","F","Present","0","Hydroid_Bryozoa","Hydroid",0.1762980168
"0415","0415_1","Bright","F","Present","0","Hydroid","Hydroid_Bryozoa",0.2374050408
"0415","0415_2","Bright","F","Present","0","Hydroid","Hydroid",0.1705643326
"0415","0415_3","Bright","F","Absent","0","Hydroid","Red_Algae",0.1015929155
"0415","0415_4","Bright","F","Present","0","Hydroid","Hydroid",0.1762980168
"0416","0416_1","W","M","Present","0","Hydroid_Bryozoa","Hydroid_Bryozoa",0.2320624327
"0416","0416_2","W","M","Present","0","Hydroid_Bryozoa","Hydroid",0.2283924559
"0416","0416_3","W","M","Absent","0","Hydroid_Bryozoa","Red_Algae",0.1310379166
"0416","0416_4","W","M","Present","0","Hydroid_Bryozoa","Hydroid",0.2327088489
"0416","0416_1","W","M","Present","0","Hydroid","Hydroid_Bryozoa",0.2320624327
