"BCPD","Lifestage","Sex","Size","Morph","Morph2","Fecundity","Surface_area"
"0210","A","F",6.274,"F","Bright",11,NA
"0409","A","F",6.285,"F","Bright",40,NA
"0399","A","F",6.397,"WO","Bright",33,NA
"0208","A","F",8.52,"WO","Bright",62,5.485939059
"0415","A","F",8.651,"WO","Bright",103,3.798084091
"0377","A","F",9.769,"F","Bright",102,5.584514881
"0467","A","F",6.097,"G","Other",27,1.982619029
"0586","A","F",4.959,"RB","RB",16,1.791441291
"0501","A","F",4.964,"RB","RB",17,NA
"0079","A","F",4.983,"RB","RB",0,1.381443321
"0582","A","F",5.267,"RB","RB",0,NA
"0472","A","F",5.302,"RB","RB",13,NA
"0580","A","F",5.422,"RB","RB",0,1.114570758
"0422","A","F",5.472,"RB","RB",0,NA
"0487","A","F",5.55,"RB","RB",21,NA
"0618","A","F",5.71,"RB","RB",31,NA
"0187","A","F",5.862,"RB","RB",36,2.522142964
"0182","A","F",5.919,"RB","RB",42,2.253686379
"0474","A","F",5.968,"RB","RB",30,NA
"0221","A","F",5.99,"RB","RB",0,2.49802933
"0374","A","F",6.006,"RB","RB",24,1.956028943
"0595","A","F",6.04,"RB","RB",38,NA
"0553","A","F",6.043,"RB","RB",40,NA
"0502","A","F",6.051,"RB","RB",35,NA
"0551","A","F",6.07,"RB","RB",39,NA
"0592","A","F",6.082,"RB","RB",31,1.495379252
"0345","A","F",6.165,"RB","RB",30,2.060735418
"0520","A","F",6.226,"RB","RB",46,2.251424112
"0549","A","F",6.248,"RB","RB",25,NA
"0542","A","F",6.253,"RB","RB",41,1.74650918
"0566","A","F",6.277,"RB","RB",63,2.810849453
"0491","A","F",6.28,"RB","RB",48,2.74988179
"0111","A","F",6.311,"RB","RB",41,2.606300868
"0454","A","F",6.324,"RB","RB",43,NA
"0554","A","F",6.334,"RB","RB",33,NA
"0234","A","F",6.368,"RB","RB",30,2.439024386
"0578","A","F",6.39,"RB","RB",0,NA
"0440","A","F",6.4,"RB","RB",37,NA
"0530","A","F",6.403,"RB","RB",9,NA
"0092","A","F",6.412,"RB","RB",26,2.739182069
"0066","A","F",6.45,"RB","RB",34,1.782546265
"0313","A","F",6.455,"RB","RB",86,NA
"0588","A","F",6.459,"RB","RB",31,1.994042553
"0195","A","F",6.462,"RB","RB",40,NA
"0447","A","F",6.496,"RB","RB",37,NA
"0064","A","F",6.534,"RB","RB",18,NA
"0109","A","F",6.541,"RB","RB",3,3.281303877
"0563","A","F",6.582,"RB","RB",12,NA
"0436","A","F",6.599,"RB","RB",38,NA
