"BCPD","Lifestage","Sex","Size","Morph","Morph2","Fecundity","Surface_area"
"0307","A","M",7.11,"F","Bright",NA,1.395514339
"0389","A","M",5.831,"F","Bright",NA,1.034124142
"0419","A","M",4.361,"P","Bright",NA,0.746647507
"0420","A","M",6.834,"WO","Bright",NA,2.31225044
"0481","A","M",4.139,"WO","Bright",NA,0.95361364
"0483","A","M",6.167,"F","Bright",NA,2.416496021
"0484","A","F",7.695,"F","Bright",NA,4.938982989
"0208","A","F",8.52,"WO","Bright",62,5.485939059
"0415","A","F",8.651,"WO","Bright",103,3.798084091
"0377","A","F",9.769,"F","Bright",102,5.584514881
"0072","A","M",6.052,"RC","Other",NA,1.481851763
"0185","A","M",4.843,"RC","Other",NA,1.522543824
"0467","A","F",6.097,"G","Other",27,1.982619029
"0386","A","M",6.433,"BC","Other",NA,1.234531075
"0413","A","M",4.329,"BC","Other",NA,0.729094109
"0466","A","M",6.325,"G","Other",NA,1.228619672
"0518","A","M",6.116,"RC","Other",NA,1.374633534
"0519","A","M",6.604,"RC","Other",NA,1.613865186
"0576","A","M",7.873,"RC","Other",NA,2.500257653
"0621","A","M",6.613,"RC","Other",NA,1.606529604
"0073","A","M",4.637,"RB","RB",NA,0.703952932
"0075","A","M",6.097,"RB","RB",NA,1.465116539
"0077","A","M",6.498,"RB","RB",NA,1.156200699
"0081","A","M",4.226,"RB","RB",NA,0.676820857
"0084","A","M",6.134,"RB","RB",NA,1.587885579
"0085","A","M",5.848,"RB","RB",NA,1.142615085
"0586","A","F",4.959,"RB","RB",16,1.791441291
"0089","A","M",5.518,"RB","RB",NA,1.047155885
"0079","A","F",4.983,"RB","RB",0,1.381443321
"0093","A","M",5.939,"RB","RB",NA,1.544541448
"0108","A","M",7.216,"RB","RB",NA,1.921994633
"0116","A","M",6.102,"RB","RB",NA,1.598042746
"0118","A","M",7.304,"RB","RB",NA,2.08955959
"0119","A","M",8.837,"RB","RB",NA,2.19708846
"0181","A","M",6.08,"RB","RB",NA,1.595786892
"0183","A","M",6.451,"RB","RB",NA,1.382595586
"0184","A","M",7.66,"RB","RB",NA,1.860925561
"0188","A","M",6.75,"RB","RB",NA,2.005643433
"0189","A","M",3.541,"RB","RB",NA,0.35962361
"0190","A","M",5.787,"RB","RB",NA,1.210977089
"0191","A","M",8.454,"RB","RB",NA,1.855318225
"0193","A","M",7.086,"RB","RB",NA,1.767093922
"0199","A","M",7.52,"RB","RB",NA,2.255062579
"0204","A","M",4.331,"RB","RB",NA,0.638272878
"0206","A","M",5.218,"RB","RB",NA,1.274184241
"0207","A","M",6.812,"RB","RB",NA,1.594579916
"0580","A","F",5.422,"RB","RB",0,1.114570758
"0211","A","M",6.246,"RB","RB",NA,1.501158819
"0217","A","M",4.53,"RB","RB",NA,0.711932535
"0220","A","M",7.506,"RB","RB",NA,1.479572849
"0482","A","F",5.567,"RB","RB",NA,2.829531692
"0222","A","M",6.636,"RB","RB",NA,1.349019885
"0227","A","M",7.008,"RB","RB",NA,1.928568236
"0229","A","M",5.782,"RB","RB",NA,1.007613824
"0187","A","F",5.862,"RB","RB",36,2.522142964
"0232","A","M",6.791,"RB","RB",NA,1.325844501
"0182","A","F",5.919,"RB","RB",42,2.253686379
"0235","A","M",8.1,"RB","RB",NA,1.974565627
"0301","A","M",4.631,"RB","RB",NA,0.718867738
"0303","A","M",5.664,"RB","RB",NA,1.122127299
"0221","A","F",5.99,"RB","RB",0,2.49802933
"0306","A","M",8.324,"RB","RB",NA,2.067646406
"0374","A","F",6.006,"RB","RB",24,1.956028943
"0314","A","M",4.31,"RB","RB",NA,0.75741077
"0315","A","M",8.284,"RB","RB",NA,2.331358235
"0317","A","M",6.987,"RB","RB",NA,1.498862893
"0321","A","M",7.239,"RB","RB",NA,1.440062489
"0323","A","M",5.482,"RB","RB",NA,1.026133723
"0325","A","M",6.226,"RB","RB",NA,1.511735875
"0592","A","F",6.082,"RB","RB",31,1.495379252
"0329","A","M",5.796,"RB","RB",NA,1.512250199
"0335","A","M",7.109,"RB","RB",NA,1.447612546
"0341","A","M",5.07,"RB","RB",NA,0.944035052
"0345","A","F",6.165,"RB","RB",30,2.060735418
"0343","A","M",6.961,"RB","RB",NA,1.429098571
"0520","A","F",6.226,"RB","RB",46,2.251424112
"0346","A","M",5.374,"RB","RB",NA,0.875281097
"0348","A","M",8.385,"RB","RB",NA,2.487194446
"0351","A","M",5.243,"RB","RB",NA,1.039589358
"0353","A","M",3.152,"RB","RB",NA,0.41346778
"0354","A","M",5.363,"RB","RB",NA,1.047487232
"0542","A","F",6.253,"RB","RB",41,1.74650918
"0358","A","M",5.631,"RB","RB",NA,0.923131789
"0366","A","M",7.877,"RB","RB",NA,2.595914009
"0368","A","M",4.415,"RB","RB",NA,0.703774403
"0566","A","F",6.277,"RB","RB",63,2.810849453
"0372","A","M",6.723,"RB","RB",NA,1.573610157
"0491","A","F",6.28,"RB","RB",48,2.74988179
"0111","A","F",6.311,"RB","RB",41,2.606300868
"0234","A","F",6.368,"RB","RB",30,2.439024386
"0383","A","M",8.385,"RB","RB",NA,2.135218649
"0391","A","M",7.584,"RB","RB",NA,1.710726776
"0392","A","M",6.632,"RB","RB",NA,1.880834464
"0092","A","F",6.412,"RB","RB",26,2.739182069
"0066","A","F",6.45,"RB","RB",34,1.782546265
"0401","A","M",4.25,"RB","RB",NA,0.57483879
"0588","A","F",6.459,"RB","RB",31,1.994042553
"0404","A","M",7.693,"RB","RB",NA,1.79914966
"0407","A","M",5.067,"RB","RB",NA,0.937381392
"0411","A","M",5.054,"RB","RB",NA,0.869120948
"0109","A","F",6.541,"RB","RB",3,3.281303877
"0318","A","F",6.638,"RB","RB",34,2.941296948
"0423","A","M",8.266,"RB","RB",NA,2.277788447
"0427","A","M",5.685,"RB","RB",NA,1.151064567
"0186","A","F",6.649,"RB","RB",29,2.531703915
"0405","A","F",6.746,"RB","RB",49,2.452189082
"0342","A","F",6.787,"RB","RB",0,3.021254216
"0515","A","F",6.812,"RB","RB",28,2.41794505
"0465","A","F",6.814,"RB","RB",82,2.990806222
"0385","A","F",6.836,"RB","RB",48,2.314348394
"0219","A","F",6.856,"RB","RB",0,2.976858088
"0524","A","F",6.861,"RB","RB",63,3.039815615
