BCPD,Sex,lumMean_0,lumSD_0,lumMean_10,lumSD_10,lumMean_20,lumSD_20,area,maxPower_lum_0,maxFreq_lum_0,propPower_lum_0,sumPower_lum_0,meanPower_lum_0,powerSD_lum_0,maxPower_R_0,maxFreq_R_0,propPower_R_0,sumPower_R_0,meanPower_R_0,powerSD_R_0,maxPower_G_0,maxFreq_G_0,propPower_G_0,sumPower_G_0,meanPower_G_0,powerSD_G_0,maxPower_B_0,maxFreq_B_0,propPower_B_0,sumPower_B_0,meanPower_B_0,powerSD_B_0,maxPower_lum_10,maxFreq_lum_10,propPower_lum_10,sumPower_lum_10,meanPower_lum_10,powerSD_lum_10,maxPower_R_10,maxFreq_R_10,propPower_R_10,sumPower_R_10,meanPower_R_10,powerSD_R_10,maxPower_G_10,maxFreq_G_10,propPower_G_10,sumPower_G_10,meanPower_G_10,powerSD_G_10,maxPower_B_10,maxFreq_B_10,propPower_B_10,sumPower_B_10,meanPower_B_10,powerSD_B_10,maxPower_lum_20,maxFreq_lum_20,propPower_lum_20,sumPower_lum_20,meanPower_lum_20,powerSD_lum_20,maxPower_R_20,maxFreq_R_20,propPower_R_20,sumPower_R_20,meanPower_R_20,powerSD_R_20,maxPower_G_20,maxFreq_G_20,propPower_G_20,sumPower_G_20,meanPower_G_20,powerSD_G_20,maxPower_B_20,maxFreq_B_20,propPower_B_20,sumPower_B_20,meanPower_B_20,powerSD_B_20,R_0,R_SD_0,G_0,G_SD_0,B_0,B_SD_0,R_10,R_SD_10,G_10,G_SD_10,B_10,B_SD_10,R_20,R_SD_20,G_20,G_SD_20,B_20,B_SD_20,Cluster
0066,F,6.247545579,2.916299965,6.256310426,2.078509669,6.225456139,1.88354897,1.782546265,0.617147179,63.99999893,0.11927235,5.174268618,0.369590616,0.152682726,0.752024741,63.99999893,0.122458324,6.141066744,0.438647625,0.185235732,0.519785569,63.99999893,0.11298893,4.60032296,0.328594497,0.129247547,0.332256109,63.99999893,0.10259495,3.238523024,0.231323073,0.081332341,0.611022166,15.99999984,0.155246443,3.935820707,0.281130051,0.213346017,0.758473433,15.99999984,0.152285829,4.980591037,0.355756503,0.265045307,0.495168047,15.99999984,0.155842106,3.177370098,0.226955007,0.172631104,0.308670723,15.99999984,0.150282845,2.053931861,0.146709419,0.107980695,0.591586481,11.3137084,0.163358387,3.621402556,0.258671611,0.211601948,0.735590605,11.3137084,0.160143907,4.59330998,0.32809357,0.265803872,0.48224606,11.3137084,0.166698222,2.892928639,0.20663776,0.169905932,0.303178087,11.3137084,0.16344768,1.854893791,0.132492414,0.105339468,8.779624115,2.659491359,3.715467045,3.230512833,1.857747478,2.404213537,8.791624288,1.830589942,3.720996529,2.352930096,1.856937829,1.671725984,8.756593828,1.650032421,3.694318483,2.142784128,1.842354964,1.515116501,1
0079,F,5.120506507,2.68142642,5.142543463,1.902284924,5.198922187,1.64118184,1.381443321,0.538520733,63.99999893,0.116689578,4.614985683,0.329641834,0.133366775,0.698118004,63.99999893,0.123877005,5.635573786,0.402540985,0.180406384,0.396489798,63.99999893,0.097821308,4.053204819,0.28951463,0.09465784,0.27394742,15.99999984,0.095510946,2.868230619,0.204873616,0.054427045,0.528219109,15.99999984,0.148076657,3.567200386,0.254800028,0.181529261,0.698074045,15.99999984,0.150641342,4.634013725,0.33100098,0.243286698,0.373371437,15.99999984,0.134429621,2.777449157,0.198389225,0.131809037,0.221596929,22.62741673,0.123595558,1.792919848,0.128065703,0.081066774,0.525358419,11.3137084,0.161292416,3.257179927,0.232655709,0.189255418,0.703866853,11.3137084,0.163328054,4.309528177,0.307823441,0.255690784,0.360498717,11.3137084,0.150211295,2.399944144,0.171424582,0.133732428,0.215857802,15.99999984,0.142755729,1.512078036,0.108005574,0.081744155,7.438845059,2.403903878,2.802167954,3.048308122,1.352474462,2.283886248,7.455252571,1.700783014,2.829834346,2.154603374,1.366349213,1.542889041,7.503871128,1.485639485,2.893973206,1.834216111,1.411586459,1.327141278,1
0092,F,5.464762474,4.069341044,5.469135398,3.227679841,5.510719227,2.871814912,2.739182069,0.677123834,63.99999893,0.116109911,5.831748816,0.416553487,0.18446951,0.744237389,63.99999893,0.118198438,6.29650781,0.449750558,0.198713322,0.641700986,63.99999893,0.113600177,5.648767481,0.403483391,0.176176228,0.421662526,63.99999893,0.105064713,4.013360079,0.286668577,0.116368888,0.649163408,15.99999984,0.137362761,4.725905342,0.337564667,0.208475597,0.72248055,15.99999984,0.140656935,5.13647299,0.366890928,0.234507747,0.607596173,15.99999984,0.133250651,4.559798916,0.325699923,0.194267986,0.396575316,15.99999984,0.125929601,3.14918267,0.224941619,0.127668586,0.640104743,11.3137084,0.149670655,4.27675515,0.305482511,0.21268742,0.717032683,11.3137084,0.153342689,4.676014813,0.334001058,0.242911178,0.593182858,11.3137084,0.144871509,4.094544606,0.292467472,0.194048216,0.381990076,11.3137084,0.137120374,2.785801007,0.198985786,0.123968834,7.317970217,3.858723202,3.611554733,4.353235733,1.600037835,3.19974723,7.324270517,2.95739171,3.614000272,3.550012614,1.603625167,2.572193352,7.363022197,2.583536146,3.658416255,3.203228859,1.634378201,2.310140154,1
0096,F,17.26692892,15.59797379,17.32953715,14.37137543,17.39404067,13.24830443,3.455431243,2.967294857,90.50966632,0.163258837,18.17540117,1.29824294,0.979602931,2.96189104,90.50966632,0.165599645,17.88585385,1.277560989,0.974545351,2.984113513,90.50966632,0.159949208,18.65663197,1.332616569,0.983273284,2.892746965,90.50966632,0.156628571,18.4688333,1.319202379,0.97243967,2.910506507,22.62741673,0.168943408,17.22770098,1.23055007,0.985439894,2.915713454,22.62741673,0.169549882,17.1967885,1.228342035,0.979144318,2.916033296,22.62741673,0.167586943,17.40012225,1.242865875,0.992815551,2.813747629,22.62741673,0.163764197,17.18170202,1.22726443,0.96428519,2.869888918,15.99999984,0.175403091,16.3616781,1.168691293,1.002344009,2.882985949,15.99999984,0.175546948,16.42287706,1.173062647,0.998678918,2.865227197,15.99999984,0.174527679,16.41703608,1.172645434,1.007897789,2.750755622,15.99999984,0.170926852,16.09317432,1.149512451,0.972150428,19.07949621,14.8965369,15.45436164,16.3388359,12.79486166,16.59114153,19.14613172,13.75864859,15.51294248,15.0098797,12.84996198,15.23221264,19.20846183,12.70639254,15.57961943,13.81256291,12.91014083,13.97974243,2
0099,F,3.574892428,3.408599404,3.569634264,2.598498095,3.577067484,2.372268989,4.119056568,0.494162958,90.50966632,0.103199592,4.788419691,0.342029978,0.110936234,0.60257217,127.9999974,0.108119348,5.57321311,0.398086651,0.139195865,0.426085537,90.50966632,0.098023547,4.346767194,0.310483371,0.092723096,0.311795593,22.62741673,0.09513691,3.277335702,0.234095407,0.061990146,0.488693055,22.62741673,0.13668849,3.575231931,0.255373709,0.151400614,0.595056364,22.62741673,0.135144655,4.403106911,0.314507636,0.184005053,0.411579816,22.62741673,0.133984769,3.071840314,0.219417165,0.129323672,0.27146452,22.62741673,0.124652535,2.177769747,0.155554982,0.08752222,0.477910614,15.99999984,0.145423919,3.286327427,0.234737673,0.159628747,0.586092425,15.99999984,0.142601984,4.109987874,0.293570562,0.198669362,0.399099179,15.99999984,0.14412853,2.769050514,0.197789322,0.130941296,0.263152354,15.99999984,0.135798076,1.937820926,0.13841578,0.0862779,5.766121037,3.508557799,1.383663819,3.373552743,0.213383824,2.567339476,5.758251026,2.669069117,1.381017526,2.568830373,0.20939982,1.855127534,5.768498693,2.433458095,1.385636277,2.346966639,0.213596735,1.682045455,1
0101,F,11.51966277,4.12280013,11.53659977,2.968551727,11.54927258,2.65520074,3.334047628,0.903243672,90.50966632,0.102923195,8.775900024,0.626850002,0.211949665,1.160097715,127.9999974,0.109041093,10.63908733,0.759934809,0.269740086,0.713376789,90.50966632,0.096038429,7.428034781,0.530573913,0.164540559,0.437345995,22.62741673,0.100133216,4.367641547,0.311974396,0.086384128,0.895835634,22.62741673,0.123778046,7.237435559,0.516959683,0.289877425,1.109935379,22.62741673,0.124228362,8.934637502,0.638188393,0.355109232,0.703926776,22.62741673,0.12230769,5.755376245,0.411098303,0.237720667,0.31686846,22.62741673,0.107127473,2.957863676,0.211275977,0.111993543,0.915262898,15.99999984,0.137127625,6.674533274,0.476752377,0.342292581,1.146609922,22.62741673,0.138161044,8.299082659,0.592791619,0.427584984,0.713758586,11.3137084,0.136959697,5.211449796,0.372246414,0.268475775,0.32549018,15.99999984,0.124172799,2.621267954,0.187233425,0.119117205,14.13803025,4.982247446,8.901295301,3.899596387,3.668969984,2.917733587,14.14534342,3.800248521,8.927856104,2.575834869,3.673420884,1.840095828,14.15861776,3.506144628,8.939927544,2.181128937,3.677344248,1.529985348,1
0102,F,4.383053597,3.336452303,4.406944217,2.263205954,4.378572242,1.957413594,3.996592555,0.489218766,90.50966632,0.096981418,5.04445879,0.360318485,0.10401623,0.649387508,90.50966632,0.108620573,5.978494584,0.427035327,0.140343249,0.424889525,22.62741673,0.094829078,4.480582673,0.320041619,0.087004788,0.326044671,22.62741673,0.100573829,3.241844076,0.231560291,0.070893965,0.486510024,22.62741673,0.136983165,3.551604498,0.253686036,0.160633629,0.65011176,22.62741673,0.140039582,4.642342919,0.331595923,0.206326981,0.351406664,22.62741673,0.121707489,2.887305191,0.206236085,0.116405744,0.228711509,7.999999946,0.112352974,2.035651568,0.145403683,0.067744913,0.470594626,15.99999984,0.152819219,3.079420432,0.219958602,0.169505752,0.629886913,15.99999984,0.15041241,4.187732319,0.299123737,0.218408175,0.338372297,15.99999984,0.141044955,2.399038634,0.171359902,0.120821296,0.202718917,11.3137084,0.120155971,1.687131449,0.120509389,0.06890132,6.762418927,3.436480387,2.003688267,3.358961777,-0.366697951,2.557395713,6.792086248,2.37213029,2.021802178,2.257408354,-0.354164032,1.679662007,6.758559903,2.081715181,1.998584584,1.93986252,-0.373338652,1.443217297,1
0103,F,20.84000918,6.180082785,20.80438746,4.924821507,21.01339883,4.287660271,3.837327549,1.928449152,90.50966632,0.134817576,14.30413755,1.021724111,0.479721532,2.075255751,90.50966632,0.136294285,15.22628596,1.087591854,0.528152538,1.78641079,90.50966632,0.132334534,13.49920334,0.96422881,0.429830539,1.292556835,90.50966632,0.12555846,10.29446235,0.735318739,0.29836607,1.836261534,22.62741673,0.150261242,12.22046026,0.872890018,0.585505349,1.979302227,22.62741673,0.149235134,13.26297751,0.947355536,0.625603923,1.698394824,15.99999984,0.151358095,11.22103725,0.801502661,0.547624332,1.264059023,15.99999984,0.15568802,8.119179759,0.579941411,0.411416378,1.846171471,11.3137084,0.156819644,11.77257784,0.840898417,0.643101997,1.98468107,11.3137084,0.154381601,12.85568393,0.918263138,0.694349649,1.711576903,11.3137084,0.159652691,10.7206267,0.76575905,0.593886279,1.252289338,11.3137084,0.165836564,7.551346391,0.539381885,0.43894503,22.99843186,6.064908329,18.68158651,6.373919512,12.74709755,5.551410207,22.96080663,4.89897692,18.64796844,4.99218808,12.72976665,4.304088587,23.16966647,4.289843976,18.85713126,4.326476064,12.87979417,3.733452332,2
0106,F,10.80755694,2.757888871,10.90013406,1.994854736,10.93183897,1.829048534,3.710018619,0.90346291,90.50966632,0.126831137,7.123352583,0.508810899,0.233611411,1.140060259,90.50966632,0.13235636,8.613566139,0.615254724,0.307677043,0.669878789,90.50966632,0.116135231,5.768092812,0.412006629,0.156604659,0.265090054,11.3137084,0.083284698,3.182938282,0.227352734,0.048063778,0.890945918,22.62741673,0.136526944,6.525788174,0.466127727,0.282788777,1.122360606,22.62741673,0.137510542,8.161996787,0.582999771,0.351487476,0.661924824,22.62741673,0.13433173,4.927538881,0.351967063,0.215459087,0.250887651,22.62741673,0.119556778,2.098481205,0.149891515,0.089509465,0.890864295,15.99999984,0.142773041,6.239723473,0.445694534,0.305473188,1.122136102,15.99999984,0.143390089,7.825757746,0.558982696,0.380044158,0.661826732,15.99999984,0.141431071,4.679500247,0.334250018,0.23220929,0.249098575,15.99999984,0.131745804,1.890751492,0.135053678,0.094286381,13.47574966,3.212089987,8.139364207,2.475930403,2.921218362,2.000227191,13.59835487,2.507232301,8.201913291,1.573082361,2.935664215,1.126108965,13.63965063,2.334613672,8.224027225,1.397489894,2.94107095,0.951556745,1
0109,F,7.046439722,2.596242199,7.032330925,1.909502054,7.045036146,1.714574275,3.281303877,0.645775442,90.50966632,0.125602036,5.141440879,0.367245777,0.149186689,0.785858172,90.50966632,0.131792265,5.962855045,0.425918218,0.190512141,0.525594579,90.50966632,0.114185033,4.603007626,0.328786259,0.113232872,0.27912227,90.50966632,0.091403004,3.053753798,0.218125271,0.054258363,0.628064727,22.62741673,0.147944682,4.24526733,0.303233381,0.198145808,0.757616699,22.62741673,0.149257004,5.075920583,0.362565756,0.245104166,0.515032258,22.62741673,0.14321644,3.596181114,0.25687008,0.16021664,0.27764882,22.62741673,0.129168266,2.149512631,0.153536616,0.086830314,0.619657626,15.99999984,0.154021954,4.023177284,0.287369806,0.210405894,0.744043659,15.99999984,0.154986697,4.800693708,0.342906693,0.259577981,0.51072391,15.99999984,0.150843276,3.385791693,0.241842264,0.170963403,0.279941116,22.62741673,0.141539756,1.977826756,0.14127334,0.091957126,9.037058849,2.448302896,5.055820596,2.88256261,2.39637978,2.143252661,9.026018349,1.779060191,5.038643485,2.145275503,2.385740656,1.488349783,9.03368912,1.585217084,5.056383116,1.944024436,2.395116554,1.331590272,1
