"","BCPD","Lifestage","Sex","Morph_original","e_max","Filter_max","e_prop","R_c","G_c","B_c","Cluster"
"1","BCPD_0073","A","M","pink_speckle",0.346556632,63.99999893,0.11150289,9.787413985,3.908980857,3.590855152,"1"
"2","BCPD_0075","A","M","red_beige",0.535290326,22.62741673,0.102427946,9.504274072,5.550131193,4.028203164,"3"
"3","BCPD_0077","A","M","red_beige",0.454544672,90.50966632,0.091796915,10.95947016,4.74361895,3.745897527,"1"
"4","BCPD_0081","A","M","red_beige",0.53831691,31.99999957,0.100531498,12.430173676,7.076656047,5.478662529,"3"
"5","BCPD_0084","A","M","red_beige",0.560913211,22.62741673,0.11213973,10.298505733,4.809183508,3.114296032,"3"
"6","BCPD_0085","A","M","red_beige",0.634322061,63.99999893,0.107992436,13.29574464,6.875372676,4.87042845,"2"
"7","BCPD_0089","A","M","red_beige",0.291570443,63.99999893,0.09967812,8.317815462,3.991674929,3.053010855,"1"
"8","BCPD_0093","A","M","red_beige",0.560286531,15.99999984,0.092845594,12.52731738,6.845641001,5.547892847,"3"
"9","BCPD_0108","A","M","beige_red",0.586161947,45.25483331,0.093842675,12.885756135,8.001883977,5.483164935,"2"
"10","BCPD_0116","A","M","beige",0.79629751,90.50966632,0.108990664,13.82846951,10.942355417,6.992869595,"2"
"11","BCPD_0118","A","M","gold_red",0.427210823,11.3137084,0.087104297,11.626958285,6.803258542,4.138272233,"3"
"12","BCPD_0119","A","M","red_gold",0.469136518,15.99999984,0.087804771,12.461853184,5.888008041,3.843006599,"3"
"13","BCPD_0181","A","M","white_hourglass",0.950241769,45.25483331,0.110491088,16.26657035,12.047417151,8.269699416,"2"
"14","BCPD_0183","A","M","red_beige",0.498097049,11.3137084,0.091493615,13.47062461,6.904976894,5.483833137,"3"
"15","BCPD_0184","A","M","red_white_beige_border",0.593067443,45.25483331,0.088503529,14.32937315,8.842368021,6.651741233,"2"
"16","BCPD_0188","A","M","gold",0.422121017,90.50966632,0.110456787,9.029813969,6.042390872,3.613832296,"1"
"17","BCPD_0189","A","M","pink_beige",0.562346902,22.62741673,0.108602856,11.759566598,7.544196584,5.991898664,"3"
"18","BCPD_0190","A","M","beige",0.640373192,90.50966632,0.117010559,11.816266331,8.830614837,5.459026878,"2"
"19","BCPD_0191","A","M","beige_red",0.471102514,90.50966632,0.095806135,11.721048563,6.455316293,4.287552079,"1"
