"","BCPD","Lifestage","Sex","Morph_original","maxPower","maxFreq","propPower","R","G","B","Cluster"
"1",73,"A","M","pink_speckle",0.346556632,63.99999893,0.11150289,9.787413985,3.908980857,3.590855152,"2"
"2",75,"A","M","red_beige",0.535290326,22.62741673,0.102427946,9.504274072,5.550131193,4.028203164,"1"
"3",77,"A","M","red_beige",0.454544672,90.50966632,0.091796915,10.95947016,4.74361895,3.745897527,"2"
"4",81,"A","M","red_beige",0.53831691,31.99999957,0.100531498,12.430173676,7.076656047,5.478662529,"1"
"5",84,"A","M","red_beige",0.560913211,22.62741673,0.11213973,10.298505733,4.809183508,3.114296032,"1"
"6",85,"A","M","red_beige",0.634322061,63.99999893,0.107992436,13.29574464,6.875372676,4.87042845,"1"
"7",89,"A","M","red_beige",0.291570443,63.99999893,0.09967812,8.317815462,3.991674929,3.053010855,"2"
"8",93,"A","M","red_beige",0.560286531,15.99999984,0.092845594,12.52731738,6.845641001,5.547892847,"1"
"9",108,"A","M","beige_red",0.586161947,45.25483331,0.093842675,12.885756135,8.001883977,5.483164935,"1"
"10",115,"A","M","white_back_beige",2.197608047,63.99999893,0.149634264,20.9905623,18.92344169,15.46852439,"3"
"11",116,"A","M","beige",0.79629751,90.50966632,0.108990664,13.82846951,10.942355417,6.992869595,"2"
"12",117,"A","M","white_back_beige_red_stripes",1.46635886,90.50966632,0.135337933,17.40728176,12.799096298,9.373789004,"3"
"13",118,"A","M","gold_red",0.427210823,11.3137084,0.087104297,11.626958285,6.803258542,4.138272233,"1"
"14",119,"A","M","red_gold",0.469136518,15.99999984,0.087804771,12.461853184,5.888008041,3.843006599,"1"
"15",181,"A","M","white_hourglass",0.950241769,45.25483331,0.110491088,16.26657035,12.047417151,8.269699416,"3"
"16",183,"A","M","red_beige",0.498097049,11.3137084,0.091493615,13.47062461,6.904976894,5.483833137,"1"
"17",184,"A","M","red_white_beige_border",0.593067443,45.25483331,0.088503529,14.32937315,8.842368021,6.651741233,"1"
