BCPD,Sex,lumMean_0,lumSD_0,lumMean_10,lumSD_10,lumMean_20,lumSD_20,area,maxPower_lum_0,maxFreq_lum_0,propPower_lum_0,sumPower_lum_0,meanPower_lum_0,powerSD_lum_0,maxPower_R_0,maxFreq_R_0,propPower_R_0,sumPower_R_0,meanPower_R_0,powerSD_R_0,maxPower_G_0,maxFreq_G_0,propPower_G_0,sumPower_G_0,meanPower_G_0,powerSD_G_0,maxPower_B_0,maxFreq_B_0,propPower_B_0,sumPower_B_0,meanPower_B_0,powerSD_B_0,maxPower_lum_10,maxFreq_lum_10,propPower_lum_10,sumPower_lum_10,meanPower_lum_10,powerSD_lum_10,maxPower_R_10,maxFreq_R_10,propPower_R_10,sumPower_R_10,meanPower_R_10,powerSD_R_10,maxPower_G_10,maxFreq_G_10,propPower_G_10,sumPower_G_10,meanPower_G_10,powerSD_G_10,maxPower_B_10,maxFreq_B_10,propPower_B_10,sumPower_B_10,meanPower_B_10,powerSD_B_10,maxPower_lum_20,maxFreq_lum_20,propPower_lum_20,sumPower_lum_20,meanPower_lum_20,powerSD_lum_20,maxPower_R_20,maxFreq_R_20,propPower_R_20,sumPower_R_20,meanPower_R_20,powerSD_R_20,maxPower_G_20,maxFreq_G_20,propPower_G_20,sumPower_G_20,meanPower_G_20,powerSD_G_20,maxPower_B_20,maxFreq_B_20,propPower_B_20,sumPower_B_20,meanPower_B_20,powerSD_B_20,R_0,R_SD_0,G_0,G_SD_0,B_0,B_SD_0,R_10,R_SD_10,G_10,G_SD_10,B_10,B_SD_10,R_20,R_SD_20,G_20,G_SD_20,B_20,B_SD_20,Cluster
0072,M,6.245115576,3.272157664,6.172540096,2.509804096,6.113333025,1.99334591,1.481851763,0.536688499,15.99999984,0.092889785,5.77769127,0.412692234,0.120610154,0.949282868,90.50966632,0.115992679,8.183989497,0.584570678,0.219391033,0.492424726,15.99999984,0.10901338,4.517103565,0.322650255,0.122236073,0.360190352,15.99999984,0.106336224,3.387277989,0.241948428,0.088968977,0.551981038,22.62741673,0.123950208,4.453248189,0.318089156,0.205522221,0.967544451,22.62741673,0.140218253,6.900274613,0.492876758,0.336776869,0.375088662,7.999999946,0.129252964,2.901973378,0.207283813,0.13690963,0.277026669,7.999999946,0.129302829,2.142464098,0.15303315,0.099731789,0.532890944,15.99999984,0.138930345,3.835669913,0.273976422,0.214175801,0.963905774,15.99999984,0.154635951,6.23338731,0.445241951,0.36174966,0.324494289,5.656854221,0.150295468,2.159042405,0.154217315,0.123520097,0.234539291,5.656854221,0.147794481,1.586928612,0.113352044,0.088713898,10.86348632,2.700509178,1.626744834,4.026235375,0.195630461,3.105465778,10.84527946,2.113288079,1.499800724,2.990886706,0.09283578,2.294604024,10.75324511,1.733280593,1.473421031,2.365231964,0.080210892,1.815487348,M
0073,M,3.848197422,1.430100189,3.835868703,0.562511096,3.857422216,0.396845087,0.703952932,0.346556632,63.99999893,0.11150289,3.10805066,0.222003619,0.083539207,0.605728956,63.99999893,0.12443907,4.86767503,0.347691074,0.151986988,0.206242533,11.3137084,0.11356812,1.816024885,0.129716063,0.055381884,0.203423554,11.3137084,0.115461146,1.761835572,0.125845398,0.052800278,0.336820217,15.99999984,0.154805779,2.175759968,0.155411426,0.129245288,0.593845226,15.99999984,0.157683232,3.766064519,0.269004609,0.225243754,0.118669612,11.3137084,0.147595975,0.804016585,0.057429756,0.045240436,0.098224504,11.3137084,0.129661693,0.757544512,0.054110322,0.038804623,0.344497603,11.3137084,0.16822065,2.047891285,0.146277949,0.136094154,0.602476592,11.3137084,0.169658005,3.551123879,0.253651706,0.238416825,0.108025135,7.999999946,0.16478098,0.655567984,0.046826285,0.041096499,0.086632477,7.999999946,0.142859069,0.606419164,0.043315655,0.033056806,6.787413985,1.453229933,0.908980857,1.54249897,0.590855152,1.544259918,6.776591798,0.570420963,0.895145597,0.683143604,0.565378473,0.717116714,6.787074898,0.418249741,0.92776952,0.485940221,0.602362661,0.549865153,2
0075,M,4.527202633,3.708279556,4.507273599,2.571933472,4.509623978,2.285351713,1.465116539,0.535290326,22.62741673,0.102427946,5.226018341,0.373287024,0.116298837,0.602749225,22.62741673,0.097604156,6.17544629,0.441103306,0.138270698,0.489269717,22.62741673,0.106789598,4.581623343,0.32725881,0.105340829,0.339512359,22.62741673,0.10673868,3.180780933,0.227198638,0.072151192,0.431574575,22.62741673,0.110444979,3.907597982,0.279114142,0.154853173,0.563053678,22.62741673,0.119019637,4.730762855,0.337911633,0.203646132,0.36413313,7.999999946,0.109726289,3.318558696,0.237039907,0.122135235,0.238883673,7.999999946,0.111374441,2.144869773,0.153204984,0.077600617,0.433316994,15.99999984,0.122561986,3.535492603,0.252535186,0.158130415,0.566736325,15.99999984,0.130141606,4.354766654,0.311054761,0.211525938,0.329193394,15.99999984,0.112513627,2.925809106,0.208986365,0.119627274,0.203507297,5.656854221,0.110090935,1.848538184,0.132038442,0.073388153,6.504274072,3.69164307,2.550131193,3.799020778,1.028203164,2.779179262,6.483188742,2.433636727,2.531358471,2.741578054,1.011709685,1.931353384,6.483410533,2.136515163,2.535837393,2.456099605,1.011909428,1.717290702,2
0077,M,4.851544554,3.136525481,4.850018232,2.073626552,4.85275095,1.788392746,1.156200699,0.454544672,90.50966632,0.091796915,4.951633404,0.3536881,0.099017148,0.70487889,90.50966632,0.107337034,6.566968232,0.469069159,0.158571924,0.389409511,15.99999984,0.096148887,4.050067801,0.289290557,0.076823584,0.304221222,11.3137084,0.094926016,3.204824514,0.228916037,0.055826451,0.452718348,22.62741673,0.123900816,3.653877043,0.260991217,0.158543564,0.700143987,22.62741673,0.136271475,5.137861679,0.36699012,0.252189498,0.296778235,7.999999946,0.109755802,2.703986754,0.193141911,0.101030245,0.22111719,11.3137084,0.109290735,2.023201594,0.1445144,0.073387506,0.452935437,11.3137084,0.141780865,3.194616117,0.228186865,0.174557342,0.707421372,11.3137084,0.153746406,4.601222158,0.328658726,0.273643125,0.273648483,11.3137084,0.120824578,2.264841211,0.161774372,0.112101251,0.200175419,22.62741673,0.118204702,1.693464088,0.120961721,0.08387817,7.95947016,3.000386967,1.74361895,3.451045402,0.745897527,2.821208122,7.963865334,1.901120437,1.736171129,2.399877189,0.737549922,1.89978891,7.971730629,1.615928155,1.733771311,2.109373115,0.736495642,1.690469103,2
0081,M,6.753414865,2.890425667,6.656406878,1.437395009,6.667889751,1.069281423,0.676820857,0.53831691,31.99999957,0.100531498,5.354708959,0.382479211,0.160161604,0.71680153,31.99999957,0.108691001,6.594856265,0.471061162,0.19758646,0.485855177,11.3137084,0.108956134,4.459181518,0.318512966,0.138187287,0.397834529,11.3137084,0.116430513,3.4169267,0.244066193,0.107280146,0.550677677,7.999999946,0.157672193,3.492547851,0.249467704,0.207683328,0.739007314,7.999999946,0.158285796,4.668816363,0.333486883,0.277300134,0.383947345,7.999999946,0.155514866,2.468878731,0.176348481,0.146722117,0.242167017,7.999999946,0.144890805,1.671376022,0.119384002,0.094676292,0.514111278,5.656854221,0.17236814,2.982635179,0.21304537,0.214241377,0.695318715,5.656854221,0.170530398,4.077388691,0.291242049,0.289108297,0.351188456,5.656854221,0.175639667,1.999482593,0.142820185,0.144942368,0.219397764,5.656854221,0.16491339,1.330381744,0.095027267,0.089099574,9.430173676,2.808276707,4.076656047,3.095612753,2.478662529,2.560267134,9.324152718,1.336361493,3.988661005,1.590260087,2.381179074,1.217007081,9.347515359,0.970772604,3.98826405,1.205233259,2.382077358,0.916953337,2
0084,M,4.55384462,3.46338484,4.402140388,2.183560106,4.566349082,1.825801772,1.587885579,0.560913211,22.62741673,0.11213973,5.001913361,0.357279526,0.131323559,0.683584924,22.62741673,0.114771026,5.956075755,0.425433982,0.159033748,0.50760895,22.62741673,0.110134415,4.608994838,0.329213917,0.113084221,0.35118499,15.99999984,0.108442465,3.238445283,0.23131752,0.07771113,0.44242317,5.656854221,0.130594309,3.387767602,0.2419834,0.134311977,0.618963037,5.656854221,0.143152225,4.323810099,0.308843579,0.199059926,0.327856211,5.656854221,0.112423362,2.916264077,0.208304577,0.097750049,0.208178457,5.656854221,0.106916352,1.94711522,0.139079659,0.06431451,0.408075142,3.999999987,0.141806533,2.877689293,0.205549235,0.131293459,0.580099537,3.999999987,0.159678544,3.632921001,0.259494357,0.197478883,0.275958565,3.999999987,0.112219269,2.45910143,0.175650102,0.092064121,0.191220274,31.99999957,0.117217689,1.631326091,0.116523292,0.059276653,7.298505733,3.36334823,1.809183508,3.655683666,0.114296032,2.624571321,7.145066978,2.037891497,1.659213789,2.403154199,0.034241173,1.66824763,7.31727149,1.680921897,1.815426685,2.02901797,0.116238765,1.427911275,2
0085,M,7.085558656,2.849538862,6.99708835,1.425153904,7.051065065,1.208947175,1.142615085,0.634322061,63.99999893,0.107992436,5.873763791,0.419554556,0.142509883,0.900377122,63.99999893,0.115376936,7.80378774,0.55741341,0.221439627,0.386681985,63.99999893,0.09005659,4.29376667,0.306697619,0.078864629,0.273589816,11.3137084,0.093560177,2.924212249,0.208872304,0.051654646,0.632546376,15.99999984,0.14300572,4.423224301,0.315944593,0.230344372,0.903057456,15.99999984,0.145096039,6.223860166,0.44456144,0.335152432,0.377446074,15.99999984,0.133217016,2.833317294,0.202379807,0.133472402,0.206752924,11.3137084,0.120851136,1.710806622,0.122200473,0.071592726,0.64048758,11.3137084,0.153856055,4.162901361,0.297350097,0.245905668,0.915146719,11.3137084,0.155056407,5.902024527,0.42157318,0.355365777,0.380748965,11.3137084,0.146002297,2.607828586,0.18627347,0.144304074,0.198884555,11.3137084,0.128735344,1.544910271,0.110350734,0.079848677,10.29574464,2.758475247,3.875372676,3.102764992,1.87042845,2.500709976,10.21800476,1.236434581,3.776171956,1.756029853,1.780245296,1.395387202,10.26705936,0.988367579,3.83507073,1.558514251,1.828286501,1.254949866,2
0089,M,3.154745195,1.840239895,3.119869693,0.963785412,3.132852502,0.834628795,1.047155885,0.291570443,63.99999893,0.09967812,2.925119812,0.208937129,0.05800914,0.476352345,63.99999893,0.115659036,4.118591688,0.294185121,0.113966737,0.211974861,7.999999946,0.099519388,2.129985569,0.152141826,0.041433681,0.181179271,7.999999946,0.103077441,1.757700509,0.125550036,0.038818367,0.2896938,15.99999984,0.141118078,2.052846834,0.146631917,0.105210234,0.474529534,15.99999984,0.145776799,3.255178712,0.232512765,0.175404378,0.132305625,11.3137084,0.118641943,1.115167386,0.079654813,0.048097658,0.097295565,7.999999946,0.117907129,0.825188144,0.05894201,0.034102875,0.287680713,11.3137084,0.151018893,1.904931946,0.136066568,0.110841981,0.472250132,11.3137084,0.154142909,3.06371623,0.218836874,0.184267644,0.125878586,7.999999946,0.13224599,0.951851818,0.067989416,0.048978662,0.084021351,22.62741673,0.125598753,0.668966444,0.047783317,0.033397198,5.317815462,1.740730429,0.991674929,2.042939346,0.053010855,1.805452847,5.305058242,0.893102927,0.934681153,1.09848275,0.003578997,0.946284756,5.330795143,0.766869214,0.934909839,0.945496747,0.004374664,0.811721034,2
0093,M,6.686479192,3.491049651,6.671929285,2.446595215,6.653333052,2.18888532,1.544541448,0.560286531,15.99999984,0.092845594,6.034605468,0.431043248,0.104892035,0.660064351,15.99999984,0.088682999,7.442963801,0.531640272,0.134958337,0.490382327,15.99999984,0.098802729,4.963246772,0.354517627,0.088170238,0.407055259,15.99999984,0.098813215,4.119441518,0.294245823,0.071690613,0.520712616,31.99999957,0.109817648,4.741611434,0.338686531,0.169043992,0.65386871,31.99999957,0.106003168,6.168388381,0.44059917,0.225541469,0.388880175,31.99999957,0.111368881,3.491820812,0.249415772,0.121693259,0.302114866,31.99999957,0.10990095,2.748974109,0.196355294,0.093823424,0.505188808,22.62741673,0.115221059,4.384518008,0.313179858,0.17643994,0.637958975,7.999999946,0.110227052,5.787680641,0.41340576,0.2405286,0.377310867,22.62741673,0.121446414,3.10680946,0.221914961,0.121144985,0.292243793,22.62741673,0.121320727,2.408852966,0.172060926,0.091110852,9.52731738,3.611114185,3.845641001,3.467059569,2.547892847,3.0330485,9.507907253,2.631653919,3.835951285,2.310514083,2.534773376,1.969985042,9.492189599,2.386037356,3.814476523,2.027416282,2.513916096,1.729345318,2
0108,M,7.443820057,3.447701038,7.420922773,2.397242204,7.410024362,2.150311454,1.921994633,0.586161947,45.25483331,0.093842675,6.246219512,0.446158537,0.114793981,0.77489114,45.25483331,0.105405243,7.351542666,0.52511019,0.150762435,0.486321979,127.9999974,0.089218406,5.450915384,0.389351099,0.096586043,0.348817558,15.99999984,0.087117501,4.003989499,0.28599925,0.06849051,0.570787402,11.3137084,0.117999077,4.837219198,0.345515657,0.202295266,0.757404159,11.3137084,0.129582395,5.844961896,0.417497278,0.259199072,0.508607963,22.62741673,0.125775018,4.043791595,0.288842257,0.164470262,0.321719464,22.62741673,0.114484545,2.810156276,0.200725448,0.107409107,0.60362708,22.62741673,0.132419795,4.558435398,0.325602528,0.21432656,0.72225788,7.999999946,0.131844299,5.478112313,0.391293737,0.271879755,0.547259748,22.62741673,0.143500399,3.813646174,0.272403298,0.175453361,0.337854308,22.62741673,0.129425768,2.610409912,0.186457851,0.108405072,9.885756135,3.430006488,5.001883977,3.622191623,2.483164935,2.939428254,9.869989525,2.30235777,4.971856021,2.632072099,2.459175776,2.096782414,9.855612966,2.018566566,4.964435771,2.410462121,2.449522107,1.918162919,2
