"Hypothesis","PosteriorProbability"
"1","P(Microhabitat Red Algae effect e_max diff > 0)",0
"2","P(Microhabitat Red Algae effect Filter_max diff > 0)",1
"3","P(Microhabitat Red Algae effect e_prop diff > 0)",1
"4","P(Microhabitat Red Algae effect R_c diff > 0)",0
"5","P(Microhabitat Red Algae effect G_c diff > 0)",0
"6","P(Microhabitat Red Algae effect B_c diff > 0)",0
"7","P(Microhabitat Hydroid with Bryozoan effect e_max diff > 0)",1
"8","P(Microhabitat Hydroid with Bryozoan effect Filter_max diff > 0)",0
"9","P(Microhabitat Hydroid with Bryozoan effect e_prop diff > 0)",0.00035
"10","P(Microhabitat Hydroid with Bryozoan effect R_c diff > 0)",1
"11","P(Microhabitat Hydroid with Bryozoan effect G_c diff > 0)",1
"12","P(Microhabitat Hydroid with Bryozoan effect B_c diff > 0)",1
"13","P(Microhabitat Red Algae effect e_max diff < 0)",1
"14","P(Microhabitat Red Algae effect Filter_max diff < 0)",0
"15","P(Microhabitat Red Algae effect e_prop diff < 0)",0
"16","P(Microhabitat Red Algae effect R_c diff < 0)",1
"17","P(Microhabitat Red Algae effect G_c diff < 0)",1
"18","P(Microhabitat Red Algae effect B_c diff < 0)",1
"19","P(Microhabitat Hydroid with Bryozoan effect e_max diff < 0)",0
"20","P(Microhabitat Hydroid with Bryozoan effect Filter_max diff < 0)",1
"21","P(Microhabitat Hydroid with Bryozoan effect e_prop diff < 0)",0.99965
"22","P(Microhabitat Hydroid with Bryozoan effect R_c diff < 0)",0
"23","P(Microhabitat Hydroid with Bryozoan effect G_c diff < 0)",0
"24","P(Microhabitat Hydroid with Bryozoan effect B_c diff < 0)",0
"25","P(Microhabitat Association Present effect e_max diff > 0)",0.0683
"26","P(Microhabitat Association Present effect Filter_max diff > 0)",0.3675
"27","P(Microhabitat Association Present effect e_prop diff > 0)",0
"28","P(Microhabitat Association Present effect R_c diff > 0)",0
"29","P(Microhabitat Association Present effect G_c diff > 0)",0
"30","P(Microhabitat Association Present effect B_c diff > 0)",0.0646
"31","P(Microhabitat Association Present effect e_max diff < 0)",0.9317
"32","P(Microhabitat Association Present effect Filter_max diff < 0)",0.6325
"33","P(Microhabitat Association Present effect e_prop diff < 0)",1
"34","P(Microhabitat Association Present effect R_c diff < 0)",1
"35","P(Microhabitat Association Present effect G_c diff < 0)",1
"36","P(Microhabitat Association Present effect B_c diff < 0)",0.9354
