"Parameter","Estimate","Est.Error","l-85% CI","u-85% CI","l-95% CI","u-95% CI"
"1","Intercept",-1.24,0.364,-1.74,-0.721,-1.92,-0.484
"2","MicrohabitatHydrallmania",0.0904,0.314,-0.365,0.544,-0.529,0.701
"3","MicrohabitatLafoea",0.235,0.321,-0.224,0.697,-0.399,0.86
"4","MicrohabitatOther_Hydroids",-0.356,0.351,-0.861,0.148,-1.06,0.323
"5","MicrohabitatSertulariidae",-0.153,0.309,-0.604,0.291,-0.765,0.446
"6","MicrohabitatSertulariidae_Bryozoa",0.743,0.316,0.29,1.19,0.131,1.35
"7","Nudibranch1",0.746,0.302,0.311,1.18,0.155,1.34
"8","MicrohabitatHydrallmania:Nudibranch1",-0.52,0.415,-1.11,0.0777,-1.34,0.298
"9","MicrohabitatLafoea:Nudibranch1",0.654,0.39,0.0929,1.21,-0.102,1.42
"10","MicrohabitatOther_Hydroids:Nudibranch1",0.673,0.416,0.0742,1.27,-0.141,1.49
"11","MicrohabitatSertulariidae:Nudibranch1",-0.125,0.42,-0.726,0.483,-0.946,0.7
"12","MicrohabitatSertulariidae_Bryozoa:Nudibranch1",0.0524,0.427,-0.565,0.663,-0.771,0.889
